match_id,group,slot_in_group,position1,position2,team1,team2
G001,A,1,A1,A2,Mexico,South Africa
G002,A,2,A3,A4,South Korea,Czech Republic
G003,A,3,A1,A3,Mexico,South Korea
G004,A,4,A4,A2,Czech Republic,South Africa
G005,A,5,A4,A1,Czech Republic,Mexico
G006,A,6,A2,A3,South Africa,South Korea
G007,B,1,B1,B2,Canada,Bosnia and Herzegovina
G008,B,2,B3,B4,Qatar,Switzerland
G009,B,3,B1,B3,Canada,Qatar
G010,B,4,B4,B2,Switzerland,Bosnia and Herzegovina
G011,B,5,B4,B1,Switzerland,Canada
G012,B,6,B2,B3,Bosnia and Herzegovina,Qatar
G013,C,1,C1,C2,Brazil,Morocco
G014,C,2,C3,C4,Haiti,Scotland
G015,C,3,C1,C3,Brazil,Haiti
G016,C,4,C4,C2,Scotland,Morocco
G017,C,5,C4,C1,Scotland,Brazil
G018,C,6,C2,C3,Morocco,Haiti
G019,D,1,D1,D2,United States,Paraguay
G020,D,2,D3,D4,Australia,Turkey
G021,D,3,D1,D3,United States,Australia
G022,D,4,D4,D2,Turkey,Paraguay
G023,D,5,D4,D1,Turkey,United States
G024,D,6,D2,D3,Paraguay,Australia
G025,E,1,E1,E2,Germany,Curaçao
G026,E,2,E3,E4,Ivory Coast,Ecuador
G027,E,3,E1,E3,Germany,Ivory Coast
G028,E,4,E4,E2,Ecuador,Curaçao
G029,E,5,E4,E1,Ecuador,Germany
G030,E,6,E2,E3,Curaçao,Ivory Coast
G031,F,1,F1,F2,Netherlands,Japan
G032,F,2,F3,F4,Sweden,Tunisia
G033,F,3,F1,F3,Netherlands,Sweden
G034,F,4,F4,F2,Tunisia,Japan
G035,F,5,F4,F1,Tunisia,Netherlands
G036,F,6,F2,F3,Japan,Sweden
G037,G,1,G1,G2,Belgium,Egypt
G038,G,2,G3,G4,Iran,New Zealand
G039,G,3,G1,G3,Belgium,Iran
G040,G,4,G4,G2,New Zealand,Egypt
G041,G,5,G4,G1,New Zealand,Belgium
G042,G,6,G2,G3,Egypt,Iran
G043,H,1,H1,H2,Spain,Cape Verde
G044,H,2,H3,H4,Saudi Arabia,Uruguay
G045,H,3,H1,H3,Spain,Saudi Arabia
G046,H,4,H4,H2,Uruguay,Cape Verde
G047,H,5,H4,H1,Uruguay,Spain
G048,H,6,H2,H3,Cape Verde,Saudi Arabia
G049,I,1,I1,I2,France,Senegal
G050,I,2,I3,I4,Iraq,Norway
G051,I,3,I1,I3,France,Iraq
G052,I,4,I4,I2,Norway,Senegal
G053,I,5,I4,I1,Norway,France
G054,I,6,I2,I3,Senegal,Iraq
G055,J,1,J1,J2,Argentina,Algeria
G056,J,2,J3,J4,Austria,Jordan
G057,J,3,J1,J3,Argentina,Austria
G058,J,4,J4,J2,Jordan,Algeria
G059,J,5,J4,J1,Jordan,Argentina
G060,J,6,J2,J3,Algeria,Austria
G061,K,1,K1,K2,Portugal,Dem. Rep. of Congo
G062,K,2,K3,K4,Uzbekistan,Colombia
G063,K,3,K1,K3,Portugal,Uzbekistan
G064,K,4,K4,K2,Colombia,Dem. Rep. of Congo
G065,K,5,K4,K1,Colombia,Portugal
G066,K,6,K2,K3,Dem. Rep. of Congo,Uzbekistan
G067,L,1,L1,L2,England,Croatia
G068,L,2,L3,L4,Ghana,Panama
G069,L,3,L1,L3,England,Ghana
G070,L,4,L4,L2,Panama,Croatia
G071,L,5,L4,L1,Panama,England
G072,L,6,L2,L3,Croatia,Ghana
