team,group,position,confederation,elo,host,elo_source_url
Mexico,A,A1,CONCACAF,1875,1,https://www.international-football.net/country?team=Mexico
South Africa,A,A2,CAF,1528,0,https://www.international-football.net/country?team=South+Africa
South Korea,A,A3,AFC,1758,0,https://www.international-football.net/country?team=South+Korea
Czech Republic,A,A4,UEFA,1740,0,https://www.international-football.net/country?team=Czech+Republic
Canada,B,B1,CONCACAF,1788,1,https://www.international-football.net/country?team=Canada
Bosnia and Herzegovina,B,B2,UEFA,1595,0,https://www.international-football.net/country?team=Bosnia+and+Herzegovina
Qatar,B,B3,AFC,1421,0,https://www.international-football.net/country?team=Qatar
Switzerland,B,B4,UEFA,1891,0,https://www.international-football.net/country?team=Switzerland
Brazil,C,C1,CONMEBOL,1991,0,https://www.international-football.net/country?team=Brazil
Morocco,C,C2,CAF,1824,0,https://www.international-football.net/country?team=Morocco
Haiti,C,C3,CONCACAF,1548,0,https://www.international-football.net/country?team=Haiti
Scotland,C,C4,UEFA,1782,0,https://www.international-football.net/country?team=Scotland
United States,D,D1,CONCACAF,1726,1,https://www.international-football.net/country?team=United+States
Paraguay,D,D2,CONMEBOL,1833,0,https://www.international-football.net/country?team=Paraguay
Australia,D,D3,AFC,1777,0,https://www.international-football.net/country?team=Australia
Turkey,D,D4,UEFA,1911,0,https://www.international-football.net/country?team=Turkey
Germany,E,E1,UEFA,1932,0,https://www.international-football.net/country?team=Germany
Curaçao,E,E2,CONCACAF,1434,0,https://www.international-football.net/country?team=Cura%C3%A7ao
Ivory Coast,E,E3,CAF,1695,0,https://www.international-football.net/country?team=Ivory+Coast
Ecuador,E,E4,CONMEBOL,1935,0,https://www.international-football.net/country?team=Ecuador
Netherlands,F,F1,UEFA,1944,0,https://www.international-football.net/country?team=Netherlands
Japan,F,F2,AFC,1906,0,https://www.international-football.net/country?team=Japan
Sweden,F,F3,UEFA,1712,0,https://www.international-football.net/country?team=Sweden
Tunisia,F,F4,CAF,1628,0,https://www.international-football.net/country?team=Tunisia
Belgium,G,G1,UEFA,1893,0,https://www.international-football.net/country?team=Belgium
Egypt,G,G2,CAF,1696,0,https://www.international-football.net/country?team=Egypt
Iran,G,G3,AFC,1772,0,https://www.international-football.net/country?team=Iran
New Zealand,G,G4,OFC,1562,0,https://www.international-football.net/country?team=New+Zealand
Spain,H,H1,UEFA,2155,0,https://www.international-football.net/country?team=Spain
Cape Verde,H,H2,CAF,1578,0,https://www.international-football.net/country?team=Cape+Verde
Saudi Arabia,H,H3,AFC,1569,0,https://www.international-football.net/country?team=Saudi+Arabia
Uruguay,H,H4,CONMEBOL,1892,0,https://www.international-football.net/country?team=Uruguay
France,I,I1,UEFA,2062,0,https://www.international-football.net/country?team=France
Senegal,I,I2,CAF,1867,0,https://www.international-football.net/country?team=Senegal
Iraq,I,I3,AFC,1618,0,https://www.international-football.net/country?team=Iraq
Norway,I,I4,UEFA,1917,0,https://www.international-football.net/country?team=Norway
Argentina,J,J1,CONMEBOL,2114,0,https://www.international-football.net/country?team=Argentina
Algeria,J,J2,CAF,1760,0,https://www.international-football.net/country?team=Algeria
Austria,J,J3,UEFA,1830,0,https://www.international-football.net/country?team=Austria
Jordan,J,J4,AFC,1685,0,https://www.international-football.net/country?team=Jordan
Portugal,K,K1,UEFA,1986,0,https://www.international-football.net/country?team=Portugal
Dem. Rep. of Congo,K,K2,CAF,1661,0,https://www.international-football.net/country?team=Dem.+Rep.+of+Congo
Uzbekistan,K,K3,AFC,1718,0,https://www.international-football.net/country?team=Uzbekistan
Colombia,K,K4,CONMEBOL,1977,0,https://www.international-football.net/country?team=Colombia
England,L,L1,UEFA,2021,0,https://www.international-football.net/country?team=England
Croatia,L,L2,UEFA,1908,0,https://www.international-football.net/country?team=Croatia
Ghana,L,L3,CAF,1510,0,https://www.international-football.net/country?team=Ghana
Panama,L,L4,CONCACAF,1730,0,https://www.international-football.net/country?team=Panama
