scenario_id,match_no,round,source1,source2,team1,team2,projected_winner,projected_loser,pair_probability_within_scenario,support_count,winner_conditional_probability_given_pair,modal_score_given_pair,modal_score_given_pair_probability
C01,73,R32,A2,B2,South Korea,Switzerland,Switzerland,South Korea,1.0,100000,0.56675,0-1,0.10094
C01,74,R32,E1,3D,Ecuador,Paraguay,Ecuador,Paraguay,1.0,100000,0.57069,1-0,0.10165
C01,75,R32,F1,C2,Japan,Morocco,Japan,Morocco,1.0,100000,0.51599,1-0,0.0977
C01,76,R32,C1,F2,Brazil,Netherlands,Brazil,Netherlands,1.0,100000,0.59492,1-0,0.1024
C01,77,R32,I1,3F,France,Tunisia,France,Tunisia,1.0,100000,0.7253,1-0,0.10989
C01,78,R32,E2,I2,Germany,Senegal,Senegal,Germany,1.0,100000,0.51012,0-1,0.09582
C01,79,R32,A1,3C,Mexico,Scotland,Mexico,Scotland,1.0,100000,0.67513,1-0,0.10811
C01,80,R32,L1,3K,England,Dem. Rep. of Congo,England,Dem. Rep. of Congo,1.0,100000,0.62481,1-0,0.1051
C01,81,R32,D1,3E,Turkey,Ivory Coast,Turkey,Ivory Coast,1.0,100000,0.58013,1-0,0.10238
C01,82,R32,G1,3I,Belgium,Norway,Norway,Belgium,1.0,100000,0.50896,0-1,0.09604
C01,83,R32,K2,L2,Portugal,Croatia,Portugal,Croatia,1.0,100000,0.52402,1-0,0.09803
C01,84,R32,H1,J2,Spain,Austria,Spain,Austria,1.0,100000,0.68819,1-0,0.10959
C01,85,R32,B1,3G,Canada,Egypt,Canada,Egypt,1.0,100000,0.60781,1-0,0.10441
C01,86,R32,J1,H2,Argentina,Uruguay,Argentina,Uruguay,1.0,100000,0.62129,1-0,0.10542
C01,87,R32,K1,3L,Colombia,Panama,Colombia,Panama,1.0,100000,0.64779,1-0,0.10656
C01,88,R32,D2,G2,United States,Iran,United States,Iran,1.0,100000,0.5717,1-0,0.10202
C01,89,R16,W74,W77,Ecuador,France,France,Ecuador,0.41443,41443,0.5245517940303549,0-1,0.09671114542866105
C01,90,R16,W73,W75,Switzerland,Japan,Japan,Switzerland,0.29253,29253,0.5393292995590195,0-1,0.09804122654086761
C01,91,R16,W76,W78,Brazil,Senegal,Brazil,Senegal,0.30377,30377,0.5714520854593936,1-0,0.09984527767718998
C01,92,R16,W79,W80,Mexico,England,Mexico,England,0.42235,42235,0.5433171540191785,1-0,0.09925417307919972
C01,93,R16,W83,W84,Portugal,Spain,Spain,Portugal,0.36028,36028,0.6106361718663262,0-1,0.10180970356389475
C01,94,R16,W81,W82,Turkey,Norway,Norway,Turkey,0.29473,29473,0.5148101652359787,0-1,0.09832728259763172
C01,95,R16,W86,W88,Argentina,United States,Argentina,United States,0.3536,35360,0.6361425339366515,1-0,0.108710407239819
C01,96,R16,W85,W87,Canada,Colombia,Colombia,Canada,0.39393,39393,0.6636458254004518,0-1,0.1067448531464981
C01,97,QF,W89,W90,France,Japan,France,Japan,0.11566,11566,0.5579284108594156,1-0,0.09908352066401521
C01,98,QF,W93,W94,Spain,Norway,Spain,Norway,0.1168,11680,0.6405821917808219,1-0,0.11001712328767123
C01,99,QF,W91,W92,Brazil,Mexico,Brazil,Mexico,0.13479,13479,0.5872839231396988,1-0,0.10290080866533126
C01,100,QF,W95,W96,Argentina,Colombia,Argentina,Colombia,0.17547,17547,0.5515472730381262,1-0,0.09836439277369351
C01,101,SF,W97,W98,France,Spain,Spain,France,0.06197,6197,0.5605938357269646,0-1,0.10601904147167984
C01,102,SF,W99,W100,Brazil,Argentina,Argentina,Brazil,0.05173,5173,0.5383723178039822,0-1,0.10226174366905084
C01,103,Third place,L101,L102,France,Brazil,Brazil,France,0.01083,1083,0.5069252077562327,1-1,0.10249307479224377
C01,104,Final,W101,W102,Spain,Argentina,Spain,Argentina,0.02388,2388,0.5121440536013401,0-1,0.09798994974874371
