annex_c_option,count,probability,ci_low,ci_high
5,290,0.0029,0.0025852694593094844,0.003252920857220574
147,289,0.00289,0.0025758423279378653,0.0032423487568544454
26,287,0.00287,0.002556991060433345,0.0032212015608834685
73,285,0.00285,0.0025381438212270543,0.0032000503366142624
193,278,0.00278,0.002472210823068225,0.003125988712608853
131,276,0.00276,0.0024533822445018776,0.0031048188276997036
138,271,0.00271,0.002406329581170433,0.0030518753323424074
56,270,0.0027,0.002396922315539642,0.00304128336623545
67,270,0.0027,0.002396922315539642,0.00304128336623545
268,270,0.0027,0.002396922315539642,0.00304128336623545
20,269,0.00269,0.0023875161529362753,0.003030690297101068
475,269,0.00269,0.0023875161529362753,0.003030690297101068
279,269,0.00269,0.0023875161529362753,0.003030690297101068
39,268,0.00268,0.0023781110994781883,0.0030200961188214066
38,265,0.00265,0.0023499026560119584,0.002988306867074392
116,264,0.00264,0.002340502101462539,0.002977708189886063
176,263,0.00263,0.0023311026875160617,0.0029671083720947916
62,263,0.00263,0.0023311026875160617,0.0029671083720947916
341,262,0.00262,0.002321704420643122,0.002956507407229983
182,261,0.00261,0.0023123073073758557,0.0029459052887595007
192,259,0.00259,0.0022935165680995637,0.0029246975645602956
463,259,0.00259,0.0022935165680995637,0.0029246975645602956
363,259,0.00259,0.0022935165680995637,0.0029246975645602956
31,259,0.00259,0.0022935165680995637,0.0029246975645602956
280,257,0.00257,0.0022747305232067787,0.0029034851459775837
169,257,0.00257,0.0022747305232067787,0.0029034851459775837
159,257,0.00257,0.0022747305232067787,0.0029034851459775837
74,256,0.00256,0.002265339278162367,0.0028928771592842484
139,256,0.00256,0.002265339278162367,0.0028928771592842484
485,256,0.00256,0.002265339278162367,0.0028928771592842484
111,254,0.00254,0.002246560377474344,0.0028716575964967744
36,253,0.00253,0.0022371727358728704,0.0028610460063604997
315,253,0.00253,0.0022371727358728704,0.0028610460063604997
160,253,0.00253,0.0022371727358728704,0.0028610460063604997
257,251,0.00251,0.0022184011057800926,0.0028398191729777805
471,251,0.00251,0.0022184011057800926,0.0028398191729777805
149,251,0.00251,0.0022184011057800926,0.0028398191729777805
259,250,0.0025,0.002209017131750767,0.0028292039152693575
28,250,0.0025,0.002209017131750767,0.0028292039152693575
251,250,0.0025,0.002209017131750767,0.0028292039152693575
353,250,0.0025,0.002209017131750767,0.0028292039152693575
156,249,0.00249,0.0021996343948275134,0.0028185874204548628
455,248,0.00248,0.0021902529024229,0.0028079696811217276
342,247,0.00247,0.00218087266202397,0.00279735068978291
157,247,0.00247,0.00218087266202397,0.00279735068978291
267,246,0.00246,0.0021714936811932897,0.0027867304388758418
37,246,0.00246,0.0021714936811932897,0.0027867304388758418
351,245,0.00245,0.002162115967570024,0.002776108920761359
474,245,0.00245,0.002162115967570024,0.002776108920761359
236,245,0.00245,0.002162115967570024,0.002776108920761359
