team,group,elo,selected_scenario_mass,weighting,reach_r32,reach_r16,reach_qf,reach_sf,reach_final,runner_up,third_place,champion
Spain,H,2154.0,nan,fixed_consensus_scenario,1.0,0.68819,0.4252,0.27149,0.16401,0.0676,0.06391,0.09641
Argentina,J,2084.0,nan,fixed_consensus_scenario,1.0,0.62129,0.41031,0.25629,0.14994,0.06537,0.06054,0.08457
Colombia,K,1996.0,nan,fixed_consensus_scenario,1.0,0.64779,0.42927,0.22291,0.12049,0.05723,0.05589,0.06326
France,I,2059.0,nan,fixed_consensus_scenario,1.0,0.7253,0.39663,0.22972,0.11884,0.05631,0.05991,0.06253
Brazil,C,1986.0,nan,fixed_consensus_scenario,1.0,0.59492,0.34453,0.20113,0.10942,0.05071,0.04947,0.05871
Ecuador,E,1948.0,nan,fixed_consensus_scenario,1.0,0.57069,0.30223,0.16832,0.08676,0.04156,0.04334,0.0452
England,L,2001.0,nan,fixed_consensus_scenario,1.0,0.62481,0.31676,0.16025,0.08215,0.04016,0.0401,0.04199
Mexico,A,1894.0,nan,fixed_consensus_scenario,1.0,0.67513,0.3943,0.17956,0.08569,0.04597,0.04447,0.03972
Japan,F,1931.0,nan,fixed_consensus_scenario,1.0,0.51599,0.28982,0.14025,0.06873,0.03526,0.03594,0.03347
Portugal,K,1944.0,nan,fixed_consensus_scenario,1.0,0.52402,0.22882,0.1227,0.06326,0.03126,0.03037,0.032
Turkey,D,1931.0,nan,fixed_consensus_scenario,1.0,0.58013,0.28472,0.12606,0.06262,0.03222,0.03037,0.0304
Morocco,C,1903.0,nan,fixed_consensus_scenario,1.0,0.48401,0.26641,0.12554,0.06124,0.03259,0.03171,0.02865
Norway,I,1927.0,nan,fixed_consensus_scenario,1.0,0.50896,0.27565,0.1194,0.05765,0.0291,0.02971,0.02855
Senegal,I,1887.0,nan,fixed_consensus_scenario,1.0,0.51012,0.23487,0.12105,0.06001,0.03229,0.03089,0.02772
Uruguay,H,1877.0,nan,fixed_consensus_scenario,1.0,0.37871,0.21267,0.11258,0.05569,0.02841,0.02854,0.02728
Germany,E,1933.0,nan,fixed_consensus_scenario,1.0,0.48988,0.21937,0.11486,0.05541,0.02847,0.02887,0.02694
Belgium,G,1932.0,nan,fixed_consensus_scenario,1.0,0.49104,0.26096,0.11447,0.05552,0.02883,0.02906,0.02669
United States,D,1737.0,nan,fixed_consensus_scenario,1.0,0.5717,0.23018,0.11814,0.05729,0.03075,0.02971,0.02654
Netherlands,F,1928.0,nan,fixed_consensus_scenario,1.0,0.40508,0.20123,0.1064,0.0519,0.02589,0.02643,0.02601
Croatia,L,1914.0,nan,fixed_consensus_scenario,1.0,0.47598,0.19973,0.10372,0.05057,0.02568,0.02578,0.02489
Switzerland,B,1905.0,nan,fixed_consensus_scenario,1.0,0.56675,0.26333,0.11986,0.05278,0.02869,0.03158,0.02409
Paraguay,D,1828.0,nan,fixed_consensus_scenario,1.0,0.42931,0.20587,0.10552,0.04916,0.02571,0.02792,0.02345
Canada,B,1776.0,nan,fixed_consensus_scenario,1.0,0.60781,0.22981,0.08844,0.03674,0.02128,0.02196,0.01546
Austria,J,1845.0,nan,fixed_consensus_scenario,1.0,0.31181,0.14625,0.07142,0.03306,0.01776,0.01798,0.0153
Ivory Coast,E,1776.0,nan,fixed_consensus_scenario,1.0,0.41987,0.17867,0.07074,0.03209,0.01752,0.01794,0.01457
Panama,L,1741.0,nan,fixed_consensus_scenario,1.0,0.35221,0.19118,0.07693,0.03354,0.0192,0.01974,0.01434
South Korea,A,1773.0,nan,fixed_consensus_scenario,1.0,0.43325,0.18044,0.07336,0.02978,0.01726,0.01931,0.01252
Iran,G,1769.0,nan,fixed_consensus_scenario,1.0,0.4283,0.14684,0.06596,0.02849,0.01646,0.01573,0.01203
Dem. Rep. of Congo,K,1727.0,nan,fixed_consensus_scenario,1.0,0.37519,0.14942,0.06016,0.02503,0.01424,0.01524,0.01079
Scotland,C,1770.0,nan,fixed_consensus_scenario,1.0,0.32487,0.13952,0.05659,0.02369,0.01339,0.01396,0.0103
Egypt,G,1730.0,nan,fixed_consensus_scenario,1.0,0.39219,0.14974,0.05875,0.02452,0.01479,0.0141,0.00973
Tunisia,F,1648.0,nan,fixed_consensus_scenario,1.0,0.2747,0.09527,0.03743,0.01393,0.00804,0.00953,0.00589
South Africa,A,1556.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,A,1715.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,B,1637.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,B,1379.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,C,1549.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,D,1791.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,E,1542.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,F,1631.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,G,1499.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,H,1594.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,H,1583.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,I,1692.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,J,1800.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,J,1670.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,K,1720.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,L,1564.0,nan,fixed_consensus_scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
